ds,y
07-16-2023,164
07-17-2023,213
07-18-2023,322
07-19-2023,226
07-20-2023,213
07-21-2023,311
07-22-2023,226
07-23-2023,263
07-24-2023,160
07-25-2023,278
07-26-2023,239
07-27-2023,164
07-28-2023,271
07-29-2023,217
07-30-2023,252
07-31-2023,246
08-01-2023,258
08-02-2023,272
08-03-2023,226
08-04-2023,251
08-05-2023,209
08-06-2023,227
08-07-2023,291
08-08-2023,217
08-09-2023,212
08-10-2023,226
08-11-2023,267
08-12-2023,179
08-13-2023,181
08-14-2023,343
08-15-2023,166
08-16-2023,172
08-17-2023,241
08-18-2023,155
08-19-2023,254
08-20-2023,250
08-21-2023,238
08-22-2023,215
08-23-2023,334
08-24-2023,307
08-25-2023,269
08-26-2023,180
08-27-2023,221
08-28-2023,279
08-29-2023,247
08-30-2023,192
08-31-2023,239
09-01-2023,235
09-02-2023,174
09-03-2023,247
09-04-2023,268
09-05-2023,198
09-06-2023,190
09-07-2023,170
09-08-2023,344
09-09-2023,236
09-10-2023,212
09-11-2023,215
09-12-2023,135
09-13-2023,263
09-14-2023,261
09-15-2023,183
09-16-2023,264
09-17-2023,242
09-18-2023,192
09-19-2023,238
09-20-2023,243
09-21-2023,247
09-22-2023,254
09-23-2023,217
09-24-2023,186
09-25-2023,305
09-26-2023,355
09-27-2023,223
09-28-2023,340
09-29-2023,278
09-30-2023,267
10-01-2023,190
10-02-2023,197
10-03-2023,208
10-04-2023,165
10-05-2023,243
10-06-2023,205
10-07-2023,290
10-08-2023,279
10-09-2023,191
10-10-2023,230
10-11-2023,256
10-12-2023,281
10-13-2023,196
10-14-2023,232
10-15-2023,247
10-16-2023,258
10-17-2023,230
10-18-2023,251
10-19-2023,155
10-20-2023,151
10-21-2023,221
10-22-2023,239
10-23-2023,143
10-24-2023,230
10-25-2023,260
10-26-2023,283
10-27-2023,191
10-28-2023,160
10-29-2023,219
10-30-2023,238
10-31-2023,155
11-01-2023,238
11-02-2023,194
11-03-2023,229
11-04-2023,174
11-05-2023,213
11-06-2023,225
11-07-2023,173
11-08-2023,182
11-09-2023,252
11-10-2023,285
11-11-2023,161
11-12-2023,328
11-13-2023,145
11-14-2023,228
11-15-2023,236
11-16-2023,332
11-17-2023,267
11-18-2023,249
11-19-2023,151
11-20-2023,259
11-21-2023,219
11-22-2023,205
11-23-2023,189
11-24-2023,233
11-25-2023,286
11-26-2023,213
11-27-2023,204
11-28-2023,228
11-29-2023,228
11-30-2023,194
12-01-2023,185
12-02-2023,253
12-03-2023,137
12-04-2023,252
12-05-2023,184
12-06-2023,212
12-07-2023,240
12-08-2023,181
12-09-2023,204
12-10-2023,230
12-11-2023,208
12-12-2023,246
12-13-2023,295
12-14-2023,181
12-15-2023,258
12-16-2023,299
12-17-2023,236
12-18-2023,225
12-19-2023,224
12-20-2023,261
12-21-2023,285
12-22-2023,146
12-23-2023,261
12-24-2023,257
12-25-2023,278
12-26-2023,213
12-27-2023,219
12-28-2023,204
12-29-2023,219
12-30-2023,270
12-31-2023,188
01-01-2024,182
01-02-2024,134
01-03-2024,154
01-04-2024,155
01-05-2024,234
01-06-2024,293
01-07-2024,254
01-08-2024,260
01-09-2024,199
01-10-2024,217
01-11-2024,207
01-12-2024,309
01-13-2024,206
01-14-2024,213
01-15-2024,196
01-16-2024,216
01-17-2024,251
01-18-2024,169
01-19-2024,249
01-20-2024,213
01-21-2024,313
01-22-2024,220
01-23-2024,290
01-24-2024,295
01-25-2024,161
01-26-2024,284
01-27-2024,155
01-28-2024,266
01-29-2024,219
01-30-2024,251
01-31-2024,216
02-01-2024,234
02-02-2024,200
02-03-2024,212
02-04-2024,161
02-05-2024,219
02-06-2024,145
02-07-2024,202
02-08-2024,176
02-09-2024,177
02-10-2024,180
02-11-2024,214
02-12-2024,282
02-13-2024,289
02-14-2024,303
02-15-2024,175
02-16-2024,189
02-17-2024,177
02-18-2024,166
02-19-2024,259
02-20-2024,213
02-21-2024,272
02-22-2024,271
02-23-2024,196
02-24-2024,227
02-25-2024,212
02-26-2024,279
02-27-2024,182
02-28-2024,262
02-29-2024,244
03-01-2024,186
03-02-2024,270
03-03-2024,209
03-04-2024,209
03-05-2024,173
03-06-2024,113
03-07-2024,262
03-08-2024,211
03-09-2024,233
03-10-2024,229
03-11-2024,186
03-12-2024,253
03-13-2024,151
03-14-2024,199
03-15-2024,291
03-16-2024,202
03-17-2024,198
03-18-2024,232
03-19-2024,263
03-20-2024,247
03-21-2024,177
03-22-2024,294
03-23-2024,220
03-24-2024,202
03-25-2024,230
03-26-2024,280
03-27-2024,225
03-28-2024,280
03-29-2024,306
03-30-2024,228
03-31-2024,206
04-01-2024,197
04-02-2024,238
04-03-2024,272
04-04-2024,232
04-05-2024,242
04-06-2024,226
04-07-2024,247
04-08-2024,264
04-09-2024,178
04-10-2024,324
04-11-2024,249
04-12-2024,182
04-13-2024,233
04-14-2024,192
04-15-2024,222
04-16-2024,259
04-17-2024,248
04-18-2024,273
04-19-2024,166
04-20-2024,295
04-21-2024,284
04-22-2024,310
04-23-2024,207
04-24-2024,280
04-25-2024,252
04-26-2024,264
04-27-2024,200
04-28-2024,188
04-29-2024,195
04-30-2024,266
05-01-2024,222
05-02-2024,283
05-03-2024,269
05-04-2024,306
05-05-2024,219
05-06-2024,251
05-07-2024,241
05-08-2024,227
05-09-2024,223
05-10-2024,272
05-11-2024,227
05-12-2024,202
05-13-2024,176
05-14-2024,126
05-15-2024,244
05-16-2024,285
05-17-2024,240
05-18-2024,195
05-19-2024,197
05-20-2024,294
05-21-2024,238
05-22-2024,205
05-23-2024,212
05-24-2024,214
05-25-2024,175
05-26-2024,188
05-27-2024,273
05-28-2024,296
05-29-2024,153
05-30-2024,208
05-31-2024,228
06-01-2024,269
06-02-2024,261
06-03-2024,310
06-04-2024,279
06-05-2024,266
06-06-2024,224
06-07-2024,219
06-08-2024,236
06-09-2024,322
06-10-2024,314
06-11-2024,213
06-12-2024,228
06-13-2024,173
06-14-2024,288
06-15-2024,241
06-16-2024,291
06-17-2024,338
06-18-2024,198
06-19-2024,217
06-20-2024,213
06-21-2024,227
06-22-2024,262
06-23-2024,279
06-24-2024,289
06-25-2024,201
06-26-2024,263
06-27-2024,328
06-28-2024,274
06-29-2024,270
06-30-2024,297
07-01-2024,300
07-02-2024,290
07-03-2024,204
07-04-2024,194
07-05-2024,271
07-06-2024,226
07-07-2024,167
07-08-2024,231
07-09-2024,226
07-10-2024,249
07-11-2024,172
07-12-2024,249
07-13-2024,291
07-14-2024,291
07-15-2024,214
07-16-2024,259
07-17-2024,231
07-18-2024,256
07-19-2024,251
07-20-2024,180
07-21-2024,227
07-22-2024,179
07-23-2024,250
07-24-2024,301
07-25-2024,252
07-26-2024,278
07-27-2024,297
07-28-2024,267
07-29-2024,241
07-30-2024,175
07-31-2024,267
08-01-2024,204
08-02-2024,260
08-03-2024,281
08-04-2024,199
08-05-2024,241
08-06-2024,327
08-07-2024,226
08-08-2024,166
08-09-2024,239
08-10-2024,297
08-11-2024,243
08-12-2024,160
08-13-2024,239
08-14-2024,262
08-15-2024,280
08-16-2024,213
08-17-2024,202
08-18-2024,184
08-19-2024,284
08-20-2024,291
08-21-2024,198
08-22-2024,213
08-23-2024,241
08-24-2024,202
08-25-2024,133
08-26-2024,306
08-27-2024,309
08-28-2024,334
08-29-2024,186
08-30-2024,210
08-31-2024,191
09-01-2024,293
09-02-2024,316
09-03-2024,281
09-04-2024,145
09-05-2024,296
09-06-2024,228
09-07-2024,284
09-08-2024,337
09-09-2024,346
09-10-2024,303
09-11-2024,178
09-12-2024,282
09-13-2024,141
09-14-2024,236
09-15-2024,131
09-16-2024,263
09-17-2024,236
09-18-2024,265
09-19-2024,258
09-20-2024,239
09-21-2024,263
09-22-2024,378
09-23-2024,281
09-24-2024,273
09-25-2024,314
09-26-2024,243
09-27-2024,326
09-28-2024,248
09-29-2024,301
09-30-2024,169
10-01-2024,259
10-02-2024,203
10-03-2024,259
10-04-2024,223
10-05-2024,242
10-06-2024,185
10-07-2024,191
10-08-2024,206
10-09-2024,269
10-10-2024,195
10-11-2024,236
10-12-2024,234
10-13-2024,248
10-14-2024,232
10-15-2024,206
10-16-2024,211
10-17-2024,106
10-18-2024,184
10-19-2024,177
10-20-2024,253
10-21-2024,139
10-22-2024,234
10-23-2024,182
10-24-2024,230
10-25-2024,224
10-26-2024,259
10-27-2024,288
10-28-2024,264
10-29-2024,197
10-30-2024,292
10-31-2024,285
11-01-2024,219
11-02-2024,265
11-03-2024,239
11-04-2024,192
11-05-2024,166
11-06-2024,295
11-07-2024,214
11-08-2024,227
11-09-2024,248
11-10-2024,283
11-11-2024,184
11-12-2024,147
11-13-2024,221
11-14-2024,308
11-15-2024,196
11-16-2024,237
11-17-2024,278
11-18-2024,159
11-19-2024,266
11-20-2024,228
11-21-2024,223
11-22-2024,214
11-23-2024,168
11-24-2024,273
11-25-2024,264
11-26-2024,307
11-27-2024,204
11-28-2024,221
11-29-2024,249
11-30-2024,273
12-01-2024,215
12-02-2024,146
12-03-2024,251
12-04-2024,218
12-05-2024,313
12-06-2024,233
12-07-2024,225
12-08-2024,237
12-09-2024,231
12-10-2024,206
12-11-2024,224
12-12-2024,163
12-13-2024,169
12-14-2024,238
12-15-2024,282
12-16-2024,212
12-17-2024,173
12-18-2024,239
12-19-2024,274
12-20-2024,170
12-21-2024,243
12-22-2024,202
12-23-2024,193
12-24-2024,298
12-25-2024,234
12-26-2024,227
12-27-2024,216
12-28-2024,222
12-29-2024,222
12-30-2024,181
12-31-2024,235
